QuantumComputerID,UREQADeviation,UREQA++Deviation
4,26.95,16.5
6,0,0.09
4,23.24,4.3
6,1.08,0.19
4,14.26,0.2
6,0.29,2.24
4,9.96,2.84
2,3.03,0.98
7,2.73,0
4,4.68,0.68
7,5.67,1.18
4,0.59,0
2,1.46,0.19
4,0.1,0
4,0.29,0.59
7,6.93,2.25
7,2.64,0.88
4,3.52,2.34
6,2.64,2.15
5,2.74,0.39
1,1.08,0.58
5,2.63,0.49
2,6.94,0.39
6,1.56,0.69
6,0.49,5.37
7,0,0.19
5,2.54,1.86
5,0.39,2.93
2,1.27,0.19
2,5.37,0.59
1,4.2,0.78
4,17.09,0
1,1.96,1.96
4,4.2,0.68
4,0.87,0.09
4,4.98,1.27
6,1.47,0.2
7,1.86,1.08
7,3.42,0.19
4,2.05,1.95
2,9.37,1.46
4,3.03,0.39
5,0.49,0.39
1,3.02,2.44
1,14.36,0.58
6,0.49,1.66
5,5.57,0.19
4,21.2,0.78
7,3.71,2.05
5,1.27,1.27
6,2.54,0.1
5,0.1,0
6,0.2,0.09
4,11.62,2.93
4,0.78,0.78
1,0.2,0.69
7,3.71,1.56
2,0.3,0.78
1,0.2,0.59
2,1.66,0.58
4,2.93,0.2
4,0.1,0.88
7,6.55,0.19
1,9.96,1.47
4,15.33,9.66
4,1.46,1.66
4,3.51,3.51
4,22.75,15.82
7,4.2,1.66
6,0.58,0.19
7,1.27,1.57
4,1.85,0.09
4,0,0.2
4,5.66,2.35
4,4.11,0.19
1,0.19,3.13
5,6.45,2.84
4,4.69,9.37
4,11.82,0.49
4,0.58,3.71
4,0.98,1.18
4,3.81,0.1
7,3.51,0.19
5,16.8,13.28
2,6.84,0.19
6,12.01,14.26
7,8.4,0.98
4,1.86,0.3
7,5.08,0.2
6,1.17,1.26
5,0.1,0.1
4,2.54,3.32
7,0.58,0.19
1,1.86,3.03
5,1.96,0
4,6.25,1.08
6,3.03,1.76
4,7.13,3.32
2,15.82,0.88
5,1.17,1.07
4,21.29,15.14
2,2.45,1.07
7,2.73,1.76
7,4.2,0.78
7,3.71,0.29
6,0.97,1.36
1,15.92,5.96
4,19.73,1.27
6,0.3,21.88
1,1.08,0.2
2,5.28,0.29
4,11.33,0.59
4,9.76,1.95
6,1.66,2.15
1,12.79,0.69
4,1.37,2.25
1,1.57,0.79
6,2.05,1.27
2,7.91,0.2
0,8.79,1.08
4,2.63,0.09
4,0.19,0.1
2,5.76,2.44
6,2.34,2.34
4,2.64,0.49
6,0.59,0.39
7,0.09,0
5,6.15,0.98
1,12.5,1.27
2,4.3,1.85
7,3.51,1.37
7,0.29,1.66
4,4,0.68
1,0.58,2.54
4,1.56,1.36
4,6.74,6.54
4,1.85,2.15
0,8.01,1.27
5,10.16,5.27
4,23.74,1.26
4,1.37,0.78
1,0.29,0.78
4,16.61,1.85
7,0.1,2.74
4,0.49,1.27
4,9.77,2.74
1,3.03,0.39
5,2.25,0.68
2,20.8,2.15
6,7.81,0.2
4,26.56,22.85
4,4.98,0.09
5,3.42,0.49
4,0.1,2.74
4,2.14,0.78
7,0.1,0.1
4,8.79,0.98
2,18.16,0.88
7,0.4,1.08
4,2.25,1.86
5,1.36,0.09
5,2.15,2.54
4,10.74,7.03
5,0.69,1.37
4,1.07,1.17
4,0.2,0.78
1,3.62,2.64
6,0.59,0.2
2,25.78,0.1
2,0.1,3.9
2,0.39,1.37
4,1.95,5.17
4,25.88,9.38
4,6.25,2.54
4,0.1,1.27
4,2.34,2.34
7,8.2,0.4
4,0.39,0.29
4,21.59,2.74
4,1.76,1.76
4,8.5,4.69
4,17.09,0.39
7,0.49,0.1
4,7.23,0.49
4,3.9,0.39
2,3.91,3.32
7,0.39,0.39
1,11.23,0.97
4,1.95,1.46
6,3.52,0.78
4,0,0.29
4,4.2,0.2
4,6.05,1.56
2,0.49,0.19
4,4.4,0.09
2,1.08,0.68
5,0.78,0.19
7,0.68,0.58
5,6.54,0.78
4,4.1,3.71
6,3.71,0.39
7,0,0.29
7,0.68,0.09
5,0.29,1.08
7,0.2,0.29
7,0.78,1.17
5,2.54,0.39
4,1.95,1.37
5,10.45,0.59
2,4.69,2.74
4,1.86,2.35
4,22.27,17.68
1,13.76,1.66
6,0.69,0.49
4,3.41,1.37
4,27.74,24.03
5,7.12,5.17
4,2.83,0.88
4,12.89,0.78
7,1.08,1.76
4,1.75,0.97
4,1.47,0.09
4,2.24,1.46
4,1.66,2.54
4,1.08,0.88
2,24.91,0.97
5,5.47,0.69
5,2.15,2.83
2,3.03,0.49
6,0.78,0.19
1,2.44,2.05
1,9.77,4.4
4,2.93,2.44
4,2.83,0.68
5,4.69,2.34
4,16.99,4.98
6,0.49,0.58
7,3.22,0.39
4,4.5,0.48
6,1.75,0.3
2,5.47,0.39
2,0.49,3.32
6,0.29,1.46
4,28.32,4.2
4,1.08,2.83
4,0.1,0.78
6,3.03,1.27
1,12.4,1.95
0,4.68,3.9
4,2.35,1.95
4,1.07,0.19
7,0.29,0.3
4,5.96,0.78
6,2.64,0.39
7,0.2,0.1
4,5.37,4
1,0.2,0.2
4,0.59,1.27
4,22.86,1.96
7,5.56,0.39
1,8.01,0.59
1,13.28,4
7,5.18,0.59
5,3.22,0.68
4,12.5,0.09
6,0,0.3
6,3.61,1.17
6,0.2,0.1
6,2.25,0.49
4,24.12,20.71
1,5.47,2.05
1,2.24,2.44
5,1.07,0.78
5,4.49,0.2
2,0.39,1.36
4,1.46,0.59
6,0.98,0.29
4,0.58,0.58
0,3.71,4.39
2,0.78,0.39
5,5.76,0.29
5,10.06,2.74
4,1.17,0.58
4,2.44,1.17
4,3.61,0.19
4,1.17,0.1
7,4,1.46
2,3.62,3.32
2,0.88,1.17
2,2.34,3.32
5,0.78,0.78
4,9.86,10.35
4,4.39,0.39
4,1.37,1.37
7,5.07,0.68
6,0.49,0.69
7,4.3,3.42
4,35.74,24.8
2,29.59,7.81
7,4.1,0.39
5,0.39,0.78
7,4.79,0.09
1,1.66,1.75
4,23.34,1.76
4,6.84,1.95
6,6.55,0.58
5,5.86,0.09
4,2.63,2.64
7,3.13,0.98
4,5.37,0.39
1,6.83,1.85
4,1.95,0.49
1,9.37,0.58
7,0.69,0.49
7,3.32,0.1
6,0.3,0
6,2.83,0.2
6,2.53,0.3
1,7.23,3.03
5,5.47,0.68
4,0.2,0.2
4,0.19,0.19
4,11.82,0.29
6,0.87,0.68
4,2.34,1.46
1,3.03,2.54
1,6.05,1.07
4,16.11,1.08
4,1.85,0.98
4,0.69,0
4,2.54,1.07
7,0.49,2.35
4,6.25,1.37
7,0.78,1.47
6,1.36,1.95
4,2.54,2.54
1,10.26,0.97
1,8.79,1.17
6,0.88,1.08
5,8.31,1.75
4,3.81,0.19
0,5.47,6.15
7,2.63,2.15
7,1.95,0.1
4,3.81,1.66
1,7.32,8.3
6,0.2,0.88
4,0.69,2.15
6,2.44,0.1
4,0.49,0.1
4,0.49,0
6,1.36,0.49
1,0.68,0.29
6,7.52,0.2
4,7.52,0.98
2,3.41,1.56
5,3.9,2.83
4,7.03,5.27
4,19.34,14.45
1,1.66,0.68
2,1.56,0.59
4,9.18,3.71
2,1.46,0.19
7,3.42,1.47
4,18.75,3.71
7,1.86,2.73
2,0.1,0.1
4,0.98,0.98
4,3.61,0.1
4,0.78,1.17
7,2.44,2.05
1,0.49,0.49
1,9.18,0.49
7,1.57,0.58
4,12.4,0.29
4,7.03,2.74
4,14.45,2.74
7,0.98,0.4
4,5.18,0.29
5,15.63,11.52
6,0.98,0.3
7,0.39,0.29
4,3.22,0.78
4,1.66,0.78
6,0,0.59
1,6.74,8.88
5,5.07,0.49
2,0.1,1.86
4,4.49,1.66
7,2.54,0.1
4,0.78,0.29
6,0.3,0.29
4,3.62,3.42
6,2.74,0.3
4,2.35,1.08
4,0.88,3.22
4,0.39,0.48
0,2.44,7.33
6,1.86,0.39
1,7.61,3.42
4,7.72,0.39
4,0.78,1.56
4,0,0.29
0,1.75,0.97
1,4.59,0.88
1,0.58,2.84
4,2.25,1.37
1,1.85,3.51
4,8.69,2.15
1,4.98,0
6,3.12,2.05
5,5.08,3.03
7,2.15,1.07
4,13.87,1.47
6,7.52,0.39
2,0.88,0.98
5,5.17,1.17
4,5.18,2.54
2,8.2,0.29
0,0.78,1.66
4,4.2,2.73
1,3.91,0.58
7,2.14,0.48
1,4.39,1.86
4,0.59,0.59
4,0.1,0.1
4,0.39,0.59
4,6.83,0.98
5,2.25,0.68
4,8,0
4,17.68,4.88
7,2.15,1.37
4,2.35,1.08
7,9.87,2.35
4,0.58,0.39
7,0.29,0
4,12.99,0.1
4,0,1.18
2,6.64,0.39
1,9.37,0.1
7,0.09,0.1
7,8.31,4.89
4,30.67,5.67
2,0.39,1.17
6,0.88,0.88
6,0.79,0.2
0,8.89,0.2
6,2.34,0
5,2.34,2.35
7,2.73,3.32
4,23.25,1.75
4,14.16,2.15
4,12.7,2.24
4,1.57,1.27
5,2.54,0.98
4,4.3,0.29
1,23.73,16.79
4,0.19,1.17
5,0.59,0.59
7,0.3,1.85
4,1.66,1.07
4,5.47,0.97
4,7.13,0.49
1,0.88,1.86
0,4.79,3.22
5,5.47,3.62
4,4.3,0.78
1,0.59,0
1,15.62,6.93
5,1.08,1.07
5,5.67,0.48
4,4.39,0.39
4,10.45,0.48
4,0.88,0.39
4,3.81,2.35
4,0.49,2.93
6,2.25,1.17
6,1.86,0.1
4,12.3,0.98
6,2.93,0.39
4,0.2,0.79
4,1.95,1.07
2,1.18,4.11
5,0.88,0.39
4,1.56,1.17
7,4.59,2.93
2,0,0.59
7,3.71,0.68
4,20.8,0.1
4,3.03,0.29
2,5.86,0.69
4,10.84,2.15
7,0.39,0.29
4,0.88,1.56
7,5.08,0.49
6,2.44,2.73
4,1.86,2.54
5,1.27,0.3
2,8.89,2.73
6,0.78,0
5,6.74,3.51
4,1.76,0.49
6,2.24,0.49
6,0.1,0.49
7,4.49,0.1
2,13.48,3.42
2,2.35,0.49
7,4.49,2.83
4,1.27,11.32
4,27.74,1.46
1,19.33,7.23
5,7.13,0.88
4,0.58,0.68
6,0.78,0.58
4,2.15,2.83
0,6.35,5.47
4,0.39,1.17
2,2.35,1.27
4,0.49,1.27
7,0.78,0.68
4,5.18,0.59
4,2.15,1.76
4,5.47,3.52
6,2.15,1.08
1,13.67,0.68
2,6.74,0.39
4,1.86,2.64
4,1.36,2.05
4,3.81,0.3
5,5.77,4.01
1,1.47,0.88
7,3.91,0.69
1,3.81,0.39
4,2.34,0.19
7,3.8,0.2
1,1.17,0.68
6,2.74,2.05
6,0.3,0.87
4,0,0.88
7,4.39,0.3
1,1.36,1.95
4,1.95,1.95
7,7.81,4.59
2,5.95,0.98
4,1.76,1.95
7,4.4,0.78
4,4.5,2.24
2,1.18,0.1
4,2.24,0.09
1,1.86,1.27
2,5.76,8.11
4,13.09,0.09
5,3.81,1.07
4,4.29,0.29
7,6.74,2.15
2,3.32,1.37
5,1.37,0.2
4,0.87,0.87
4,2.05,1.07
7,3.9,0.78
6,0.59,0.29
1,0.48,2.05
5,1.26,0.09
7,3.42,0.49
1,3.22,2.64
4,5.08,3.61
6,2.24,1.17
2,1.07,0.49
2,1.66,1.76
4,4.2,2.25
5,1.37,0.48
4,25.98,6.74
4,2.05,0.69
4,14.16,3.22
6,1.47,0.4
6,3.12,3.42
4,2.64,2.44
4,6.64,2.93
1,0.88,0.1
4,7.52,6.54
1,12.79,2.83
4,0.1,1.46
6,6.54,0.98
4,4.1,2.15
7,1.46,0.68
1,5.76,5.67
4,0.3,1.08
0,0,0.88
4,0.2,2.25
7,5.57,0.2
4,0.1,0.78
4,3.22,0.78
4,0.97,0.97
6,0.88,0.1
2,6.16,2.63
4,18.85,1.47
7,4.68,0.59
4,24.02,20.21
1,1.95,3.51
4,2.93,3.32
4,0.58,3.12
2,4.68,0.2
4,2.15,0.69
7,3.51,1.17
4,3.9,2.64
7,3.61,3.13
2,21.09,5.86
7,3.91,0.39
2,1.17,4.59
4,4.98,2.83
0,3.72,3.23
5,1.57,0.1
2,3.61,1.17
0,6.94,0
7,2.35,1.17
6,2.84,1.46
1,7.62,1.95
1,4.79,2.93
4,0.68,1.56
4,6.54,0.58
1,0.09,3.13
4,11.23,2.45
4,1.86,1.17
6,0.59,0.1
7,5.86,1.47
0,10.74,3.52
4,0.39,0.88
4,2.15,2.15
7,1.85,1.37
5,6.16,0.58
4,2.15,2.15
4,22.95,0.97
6,2.35,3.22
4,13.28,9.87
2,0,2.93
4,28.42,0.78
4,0.1,1.66
6,3.91,0.1
7,5.08,0.49
7,2.24,1.27
1,1.17,0.88
4,15.14,8.79
0,8.7,0.29
4,0.78,0.78
1,2.35,1.08
5,6.55,0.39
6,2.35,0.09
4,4.1,0.09
6,0,1.07
7,2.35,0.49
5,6.34,0.58
0,5.37,4.59
4,39.35,20.11
7,3.91,0.58
4,1.37,2.83
5,9.67,1.17
4,1.56,0.59
7,3.42,0.1
4,12.11,0.49
2,3.42,0.58
6,0.88,1.27
2,4.79,0.59
5,11.62,7.03
4,1.07,1.85
4,4.5,0.19
4,5.18,0.2
7,0.58,0.19
4,2.93,4.59
1,0.58,0.59
1,12.69,0.39
4,4.59,4.59
2,2.83,1.56
4,4.58,0.68
5,0.97,0.97
4,6.83,0.4
5,0.29,0.1
4,10.25,5.57
5,4.5,2.24
4,5.47,2.44
1,4.49,2.63
4,7.81,2.15
5,8.5,0
5,8.21,0.58
1,12.4,1.95
1,2.53,3.12
7,0.19,0.1
5,0.49,0.49
5,6.54,4.59
4,4.4,4.01
5,6.64,0.1
4,5.56,7.03
0,6.06,0.68
4,16.6,0.29
4,20.02,1.95
6,4.2,0.1
6,3.32,0.49
6,3.12,0.1
1,0.29,3.51
